market,rname,rdesc,raddy
"Houston, TX",McDonald's,"$ • American, Burgers","2017 Main St Parking, 2017 Main St, Houston, TX 77002, USA"
"Houston, TX",Piada Italian Street Food,"$$ • Italian, Wraps","5801 Memorial Dr, Houston, TX 77007, USA"
"Houston, TX",Chick-fil-A,"$ • Chicken, American","2222 Shearn St, Houston, TX 77007, USA"
"Houston, TX",Wingstop,"$$ • American, Chicken Wings","174 Yale St #600, 174 Yale Street #600, Houston, TX 77007, USA"
"Houston, TX",Panda Express,"$$ • Chicken, Fast Food","1913 Taylor St, Houston, TX 77007, USA"
"Houston, TX",Chipotle,"$$ • Mexican, Tacos","909 Texas St B, Houston, TX 77002, USA"
"Houston, TX",Poke In The Bowl,"$$ • Hawaiian, Takeout","515 Westheimer Rd, Houston, TX 77006, USA"
"Houston, TX",Freebirds World Burrito,"$ • Dessert, Beverages","1923 Taylor St, Houston, TX 77007, USA"
"Houston, TX",Jack in the Box,"$$ • Chicken, Burgers","3110 W Dallas St, Houston, TX 77019, USA"
"Houston, TX",Burger King,"$$ • American, Burgers","Burger King, 2316 Scott St, Houston, TX 77004, USA"
"Houston, TX",American Deli,"$ • Deli, Takeout","6120 Scott St, Houston, TX 77021, USA"
"Houston, TX",Gyro Hut,"$$ • Mediterranean, Takeout","Gyro Hut, 2807 Old Spanish Trail, Houston, TX 77054, USA"
"Houston, TX",Little Caesars Pizza,"$$ • Pizza, Deep Dish Pizza","6213 Lyons Ave #100, Houston, TX 77020, USA"
"Houston, TX",The Rice Box,"$$ • Asian, Asian Food","The Rice Box, 1111 S Shepherd Dr, Houston, TX 77019, USA"
"Houston, TX",Subway,"$ • Sandwiches, Salads","2003 Pease St, Houston, TX 77003, USA"
"Houston, TX",Torchy's Tacos,"$ • Mexican, Tacos","2411 S Shepherd Dr, 2411 South Shepherd Drive, Houston, TX 77019, USA"
"Houston, TX",Marco's Pizza,"$$ • Family Meals, Italian","2616 Blodgett St, Houston, TX 77004, USA"
"Houston, TX",Whataburger,"$ • Breakfast, Fast Food","3636 N Main St, Houston, TX 77009, USA"
"Houston, TX",Starbucks,"$ • Coffee, Cafe","914 Dallas St, Houston, TX 77002, USA"
"Houston, TX",Sonic Drive-in,"$$ • American, Burgers","2720 Washington Ave, Houston, TX 77007, USA"
"Houston, TX",Dunkin',"$$ • Coffee & Tea, Donuts","2330 S Shepherd Dr, Houston, TX 77019, USA"
